id1,id2,Other name,Spectral class,Mass (Solar masses),Temperature (K),a,?a,e,?e,i,?i,omega1,??,omega2,??,Tp (yr),?Tp,P (yr),?P,Kmag,q (AU),?q,v (%c),?v,Radius (Solar radii)
S18,S0-18,,,,,0.2379,0.0015,0.471,0.012,110.67,0.18,49.11,0.18,349.46,0.66,1993.86,0.16,41.9,0.2,16.7,1029.3,3.8,0.77,0.01,
S19,S0-28,,K-M,,,0.52,0.094,0.75,0.043,71.96,0.35,344.6,0.62,155.2,2.3,2005.39,0.16,135,14,16,1063.3,4.5,0.83,0.2,
S21,,,,,,0.219,0.0017,0.764,0.014,58.8,1,259.64,0.62,166.4,1.1,2027.4,0.17,37,0.3,16.9,422.7,3.6,1.32,0.02,
S22,,,,,,1.31,0.28,0.449,0.088,105.76,0.95,291.7,1.4,95,20,1996.9,10.2,540,63,16.6,5903.7,9.7,0.32,0.1,
S23,,,,,,0.253,0.012,0.56,0.14,48,7.1,249,13,39,6.7,2024.7,3.7,45.8,1.6,17.8,910.5,1.6,0.85,0.06,
S24,S0-26,,,,,0.944,0.048,0.897,0.0049,103.67,0.42,7.93,0.37,290,15,2024.5,0.03,331,16,15.6,795.3,30.8,0.99,0.07,
S29,,,,,,0.428,0.019,0.728,0.052,105.8,1.7,161.96,0.8,346.5,5.9,2025.96,0.94,101,2,16.7,952.2,67.4,0.87,0.05,
S31,S0-8,,B4-9 V,,,0.449,0.01,0.5497,0.0025,109.03,0.27,137.16,0.3,308,3,2018.07,0.14,108,1.2,15.7,1653.7,14.6,0.63,0.02,
S33,S0-33,,,,,0.657,0.026,0.608,0.064,60.5,2.5,100.1,5.5,303.7,1.6,1928,12,192,5.2,16,2106.5,179.7,0.56,0.03,
S38,S0-38,,M III,5.9713,"3,330",0.1416,0.0002,0.8201,0.0007,171.1,2.1,101.06,0.24,17.99,0.25,2003.19,0.01,19.2,0,17,208.4,1.5,1.91,0.01,185.84
S39,,,,,,0.37,0.015,0.9236,0.0021,89.36,0.73,159.03,0.1,23.3,3.8,2000.06,0.06,81.1,1.5,16.8,231.2,3.3,1.86,0.09,
S42,,,,,,0.95,0.18,0.567,0.083,67.16,0.66,196.14,0.75,35.8,3.2,2008.24,0.75,335,58,17.5,3364.4,24.8,0.44,0.13,
S54,,,,,,1.2,0.87,0.893,0.078,62.2,1.4,288.35,0.7,140.8,2.3,2004.46,0.07,477,199,17.5,1050.2,1.9,0.86,0.78,
S55,S0-102,,B0-2 V,,,0.1078,0.001,0.7209,0.0077,150.1,2.2,325.5,4,331.5,3.9,2009.34,0.04,12.8,0.1,17.5,246.1,4.1,1.7,0.02,
S60,,,,,,0.3877,0.007,0.7179,0.0051,126.87,0.3,170.54,0.85,29.37,0.29,2023.89,0.09,87.1,1.4,16.3,894.5,1.7,0.89,0.02,
S62,,,B0-2 V,6.1,,0.0897,0.00005,0.976,0.002,72.76,4.58,122.61,0.57,42.62,0.4,2003.33,0.01,9.9,0,16.1,16.4,1.5,7.03,0.04,3.8
S66,S1-2,[RGH2007] GEN-0.06-1.01,O-B,,,1.502,0.095,0.128,0.043,128.5,1.6,92.3,3.2,134,17,1771,38,664,37,14.8,10712.4,620.5,0.21,0.02,
S67,S1-3,,O-B,,,1.126,0.026,0.293,0.057,136,1.1,96.5,6.4,213.5,1.6,1705,22,431,10,12.1,6511.2,360.6,0.29,0.01,
S71,S0-71,,,,,0.973,0.04,0.899,0.013,74,1.3,35.16,0.86,337.8,4.9,1695,21,346,11,16.1,803.8,1.4,0.99,0.06,
S83,S0-15,[GEO97] W5,O9-9.5 V,,"33,000",1.49,0.19,0.365,0.075,127.2,1.4,87.7,1.2,203.6,6,2046.8,6.3,656,69,13.6,7738.6,22.5,0.27,0.05,7.5
S85,,,M0 III,9.178,"3,800",4.6,3.3,0.78,0.15,84.78,0.29,107.36,0.43,156.3,6.8,1930.2,9.8,3580,2550,15.6,8277.1,29.6,0.3,0.33,51.008
S87,S1-12,,,,,2.74,0.16,0.224,0.027,119.54,0.87,106.32,0.99,336.1,7.7,611,154,1640,105,13.6,17390.5,2572.9,0.17,0.02,
S89,,,,,,1.081,0.055,0.639,0.038,87.61,0.16,238.99,0.18,126.4,4,1783,26,406,27,15.3,3191.8,407.2,0.46,0.04,
S91,,,,,,1.917,0.089,0.303,0.034,114.49,0.32,105.35,0.74,356.4,1.6,1108,69,958,50,12.2,10928.4,74.5,0.22,0.02,
S96,S0-96,GCIRS 16C,Ofpe/WN9,,,1.499,0.057,0.174,0.022,126.36,0.96,115.66,0.59,233.6,2.4,1646,16,662,29,10,10127,530,0.22,0.02,
S97 A,S1-16,GCIRS 16SW,Ofpe/WN9,50,"24,400",2.32,0.46,0.35,0.11,113,1.3,113.2,1.4,28,14,2132,29,1270,309,10.3,12333.9,305.9,0.21,0.08,54.5 W 58.2 W 62.7
S145,,,M III,5.1216,"3,330",1.12,0.18,0.5,0.25,83.7,1.6,263.92,0.94,185,16,1808,58,426,71,17.5,4580.2,1471.2,0.37,0.1,179.46
S175,,,,,,0.414,0.039,0.9867,0.0018,88.53,0.6,326.83,0.78,68.52,0.4,2009.51,0.01,96.2,5,17.5,45,0.8,4.27,0.47,
S4711,,,B8-9 V,2.2,,0.0751,0.0015,0.768,0.03,114.71,2.92,20.1,3.72,131.59,3.09,2010.85,0.06,7.6,0.3,18.4,143.7,7.4,2.2,0.2,2.59
S4712,,,B9-A0 V,2.2,"10,000",0.451,0.0025,0.365,0.032,117.28,1.31,166.38,3.2,238.08,3.43,2007.12,0.08,112,2.9,18.4,2366,120,0.48,0.02,
S4713,,,,2.1,,0.2,0.095,0.351,0.059,111.07,1.66,95.06,5.15,301.97,8.02,2000.03,0.22,33.2,2.5,18.5,1073,110,0.71,0.05,
S4714,,,,2,,0.102,0.0003,0.985,0.011,127.7,0.28,129.28,0.63,357.25,0.08,2017.29,0.02,12,0.3,17.7,12.6,9.3,8,3,
S4715,,,B9 V,2.8,,0.1439,0.011,0.247,0.04,129.8,3.72,282.15,2.92,359.99,5.38,2008.05,0.3,20.2,2.4,17.8,894,83,0.75,0.04,2.37
R34,,,,,,1.81,0.15,0.641,0.098,136,8.3,330,19,57,8,1522,52,877,83,14,5314.6,856.3,0.36,0.05,
R44,,,,,,3.9,1.4,0.27,0.27,131,5.2,80.5,7.1,217,24,1963,85,2730,1350,14,23285.6,901.5,0.15,0.11,
